syscall,usage
futex,2572957
write,746684
prctl,605557
epoll_wait,528740
read,416898
gettid,157339
sysinfo,3986
madvise,1913
close,1609
openat,1593
fstat,1554
getpid,1408
sched_yield,307
mmap,259
rt_sigreturn,258
stat,162
rt_sigprocmask,155
lseek,126
sched_getaffinity,98
epoll_ctl,85
setsockopt,68
getsockopt,51
clone,49
set_robust_list,49
mprotect,49
restart_syscall,48
fsync,39
getsockname,34
accept4,26
msync,18
fadvise64,18
writev,17
lstat,17
access,13
malloc_mmap,9
exit,8
fdatasync,4
fcntl,2
getdents64,2
unlink,2
ftruncate,1
munmap,1
readlink,1
dup,1
