syscall,usage
futex,3573635
epoll_pwait,2555420
nanosleep,2361647
read,1080749
write,871893
fdatasync,169747
pread64,83430
madvise,57015
newfstatat,39264
getpid,15181
tgkill,14677
rt_sigreturn,14677
epoll_ctl,13265
openat,13075
sched_yield,9873
close,9645
fcntl,7056
unlinkat,6394
getdents64,6072
readahead,2220
fstat,1467
getrandom,1459
fstatfs,1109
fadvise64,965
statfs,919
fsync,569
setsockopt,96
mmap,82
malloc_mmap,56
accept4,29
getsockname,24
renameat,15
fallocate,15
munmap,5
restart_syscall,3
rt_sigprocmask,3
sigaltstack,2
mprotect,1
clone,1
set_robust_list,1
gettid,1
