syscall,usage
nanosleep,1696783
epoll_pwait,1477525
read,1454833
futex,1368224
write,1012612
setsockopt,800316
epoll_ctl,413321
accept4,225456
close,209203
getsockname,200079
getpid,65484
tgkill,65004
rt_sigreturn,65003
pread64,58310
newfstatat,38002
madvise,37175
sched_yield,30306
fdatasync,18564
openat,10900
fcntl,8160
getdents64,4905
unlinkat,3338
fstat,1528
statfs,873
sync_file_range,663
fsync,577
fstatfs,498
fadvise64,413
mmap,100
renameat,21
fallocate,21
munmap,10
rt_sigprocmask,9
malloc_mmap,7
sigaltstack,6
readahead,5
restart_syscall,3
mprotect,3
clone,3
set_robust_list,3
gettid,3
