syscall,usage
pwrite64,1218054
clock_nanosleep,354331
sched_yield,329216
recvfrom,316925
write,195358
sendto,120907
io_submit,93325
fsync,80449
ppoll,72600
read,38474
lseek,25347
getcwd,8960
lstat,7145
fdatasync,6972
ftruncate,6881
epoll_wait,6444
openat,5437
close,5427
stat,4801
fcntl,3586
pread64,3368
getrusage,2776
sched_getaffinity,2776
rename,1788
fallocate,772
mprotect,232
unlink,40
getdents64,20
restart_syscall,18
getpid,12
fstat,10
access,10
mmap,7
setsockopt,6
malloc_mmap,4
accept,3
clone,3
set_robust_list,3
poll,3
gettid,3
prctl,3
mbind,3
munmap,3
rt_sigtimedwait,1
mkdir,1
madvise,1
exit,1
shutdown,1
