syscall,usage
read,512884
pwrite64,485435
clock_nanosleep,433728
sched_yield,337423
write,316335
io_submit,93363
fsync,84445
ppoll,58874
lseek,25365
getcwd,9327
lstat,7511
fdatasync,6937
ftruncate,6881
close,5815
openat,5813
stat,5171
epoll_wait,4087
fcntl,3956
getrusage,3176
sched_getaffinity,3176
pread64,2402
rename,1789
fallocate,773
mprotect,255
getpid,78
unlink,40
poll,27
fstat,21
recvfrom,21
getdents64,20
restart_syscall,15
mmap,13
setsockopt,12
ioctl,12
access,10
socket,8
connect,8
sendto,6
sendmmsg,6
munmap,4
accept,3
malloc_mmap,3
clone,3
set_robust_list,3
gettid,3
prctl,3
getpeername,3
mbind,3
shutdown,3
rt_sigtimedwait,1
uname,1
mkdir,1
