syscall,usage
sched_yield,77110
pwrite64,37151
read,25420
pread64,21199
write,17224
fsync,16969
io_submit,14555
clock_nanosleep,4484
fdatasync,3635
ppoll,2293
epoll_wait,664
getrusage,658
sched_getaffinity,658
mprotect,438
close,140
getcwd,130
openat,129
stat,124
lstat,124
fcntl,118
getpid,78
poll,27
recvfrom,22
lseek,18
restart_syscall,13
setsockopt,12
mmap,12
ioctl,12
fstat,11
socket,8
connect,8
sendto,6
sendmmsg,6
rename,6
malloc_mmap,4
munmap,4
accept,3
clone,3
set_robust_list,3
gettid,3
prctl,3
getpeername,3
mbind,3
shutdown,3
rt_sigtimedwait,1
uname,1
fallocate,1
