syscall,usage
pread64,113864
fadvise64,65306
pwrite64,62573
sync_file_range,36349
futex,19405
lseek,17253
recvfrom,16344
epoll_wait,13701
sendto,11680
fdatasync,11488
brk,2722
select,2199
read,2182
openat,1317
close,641
kill,485
rt_sigaction,383
rt_sigreturn,316
rt_sigprocmask,244
getpid,226
setitimer,194
fstat,144
malloc_mmap,87
epoll_ctl,80
getrandom,68
wait4,68
munmap,64
fsync,61
mmap,55
write,42
epoll_create1,37
clone,34
set_robust_list,34
signalfd4,34
setsid,34
prctl,34
access,34
exit_group,34
getrusage,31
unlink,14
getdents64,12
stat,11
setsockopt,6
fcntl,6
mprotect,4
lstat,4
accept,3
getsockname,3
rename,2
