syscall,usage
pwrite64,565958
pread64,432971
recvfrom,353996
fadvise64,270072
lseek,197909
brk,119798
futex,40803
epoll_wait,34156
openat,33731
sendto,29773
select,16170
sync_file_range,12892
fdatasync,12639
read,7365
write,5890
close,3683
pwritev,3008
kill,2819
rt_sigaction,1048
fsync,870
getpid,730
rt_sigprocmask,668
rt_sigreturn,644
stat,525
setitimer,516
unlink,430
fstat,404
epoll_ctl,226
malloc_mmap,224
getrandom,188
wait4,184
munmap,170
link,146
mmap,144
access,115
epoll_create1,109
lstat,100
clone,94
set_robust_list,94
signalfd4,94
setsid,94
prctl,94
exit_group,92
getrusage,48
getdents64,32
rename,13
mremap,13
setsockopt,8
fcntl,8
mkdir,7
accept,4
getsockname,4
rmdir,4
ftruncate,3
fallocate,3
mprotect,2
