syscall,usage
pwrite64,533086
pread64,439517
fadvise64,291095
lseek,197817
recvfrom,180079
brk,95329
openat,33353
futex,32491
sendto,29751
epoll_wait,29608
sync_file_range,14956
select,14672
fdatasync,12774
read,7717
write,5860
kill,4897
pwritev,3392
close,3285
setitimer,1108
fsync,936
rt_sigreturn,803
rt_sigaction,663
stat,536
unlink,460
getpid,438
rt_sigprocmask,423
fstat,268
munmap,158
malloc_mmap,153
link,152
epoll_ctl,134
mmap,134
getrandom,118
wait4,114
lstat,100
access,80
epoll_create1,63
clone,59
set_robust_list,59
signalfd4,59
setsid,59
prctl,59
exit_group,57
getrusage,53
getdents64,40
rename,14
mremap,13
mkdir,11
setsockopt,8
fcntl,8
accept,4
getsockname,4
rmdir,4
ftruncate,3
fallocate,3
mprotect,2
