syscall,usage
pread64,222365
pwrite64,138074
fadvise64,98362
lseek,79284
futex,58265
recvfrom,57799
sync_file_range,48245
sendto,41315
epoll_wait,41046
fdatasync,37728
read,16638
kill,14844
select,5443
brk,2707
openat,2580
setitimer,2127
rt_sigreturn,1295
close,933
rt_sigaction,405
rt_sigprocmask,258
getpid,240
fstat,154
fsync,141
malloc_mmap,86
epoll_ctl,84
getrandom,72
munmap,72
wait4,72
mmap,68
pwritev,64
unlink,59
write,46
getrusage,45
epoll_create1,39
clone,36
set_robust_list,36
signalfd4,36
setsid,36
prctl,36
access,36
exit_group,36
stat,21
getdents64,16
link,14
lstat,13
setsockopt,6
fcntl,6
mprotect,4
accept,3
getsockname,3
rename,2
ftruncate,1
